name	rank	last_changed	profile_group	habitat	flying	diet
Caeciliusidae	family	2025-05-01 23:10:31		forest	no	

Caenidae	family	2025-05-01 23:10:31		freshwater	yes	

Calliphoridae	family	2025-05-01 23:10:31		forest, grassland	yes	

Calopterygidae	family	2025-05-01 23:10:31		freshwater	yes	

Campodeidae	family	2025-05-01 23:10:31		soil	no	

Candonidae	family	2025-05-01 23:10:31		freshwater	no	

Cantharidae	family	2025-05-01 23:10:31		grassland	no	

Capitellida	order	2025-05-01 23:10:31		marine	no	

Capitellidae	family	2025-05-01 23:10:31		marine	no	

Capniidae	family	2025-05-01 23:10:31		freshwater	yes	herbivore

Carabidae	family	2025-05-01 23:10:31		soil	no	carnivore

Cecidomyiidae	family	2025-05-01 23:10:31		forest, grassland	yes	herbivore

Cerambycidae	family	2025-05-01 23:10:31		forest	no	herbivore

Ceratophyllidae	family	2025-05-01 23:10:31		forest, grassland	no	parasite

Ceratopogonidae	family	2025-05-01 23:10:31		freshwater	no	carnivore

Chaerilidae	family	2025-05-01 23:10:31		soil	no	carnivore

Chaoboridae	family	2025-05-01 23:10:31		freshwater	no	carnivore

Charinidae	family	2025-05-01 23:10:31		soil	no	carnivore

Cheiridiidae	family	2025-05-01 23:10:31		soil	no	carnivore

Cheliferidae	family	2025-05-01 23:10:31		soil	no	carnivore

Chernetidae	family	2025-05-01 23:10:31		soil	no	

Cheyletidae	family	2025-05-01 23:10:31		forest	no	parasite

Chilopoda	class	2025-05-01 23:10:31			no	

Chirocephalidae	family	2025-05-01 23:10:31		freshwater	no	

Chironomidae	family	2025-05-01 23:10:31		freshwater	no	

Chloroperlidae	family	2025-05-01 23:10:31		freshwater	yes	

Chrysomelidae	family	2025-05-01 23:10:31		grassland	no	

Chthoniidae	family	2025-05-01 23:10:31		soil	no	

Cicadellidae	family	2025-05-01 23:10:31		grassland	no	

Cicadidae	family	2025-05-01 23:10:31		soil	no	

Cicindelidae	family	2025-05-01 23:10:31		soil	no	

Cicindelinae	family	2025-05-01 23:10:31		freshwater	no	carnivore

Cixiidae	family	2025-05-01 23:10:31		grassland	yes	herbivore

Cladocera	order	2025-05-01 23:10:31		freshwater	no	herbivore

Clothodidae	family	2025-05-01 23:10:31		forest	no	herbivore

Cnidaria	phylum	2025-05-01 23:10:31			no	carnivore

Coccinellidae	family	2025-05-01 23:10:31		forest, grassland	no	carnivore

Coenagrionidae	family	2025-05-01 23:10:31		freshwater	yes	carnivore

Coleoptera	order	2025-05-01 23:10:31		forest	no	omnivore

Colletidae	family	2025-05-01 23:10:31		grassland	no	herbivore

Cordulegastridae	family	2025-05-01 23:10:31		freshwater	yes	carnivore

Corduliidae	family	2025-05-01 23:10:31		freshwater	yes	

Coreidae	family	2025-05-01 23:10:31		grassland	no	

Corixidae	family	2025-05-01 23:10:31		freshwater	no	

Corydalidae	family	2025-05-01 23:10:31		freshwater	yes	

Crabronidae	family	2025-05-01 23:10:31		forest, grassland	no	

Craterostigmidae	family	2025-05-01 23:10:31		soil	no	

Craterostigmomorpha	order	2025-05-01 23:10:31		soil	no	

Cryptopidae	family	2025-05-01 23:10:31		soil	no	

Ctenidae	family	2025-05-01 23:10:31		forest	no	

Culicidae	family	2025-05-01 23:10:31		freshwater, urban	no	

Curculionidae	family	2025-05-01 23:10:31		grassland	no	

Cylisticidae	family	2025-05-01 23:10:31		freshwater	no	

Cyprididae	family	2025-05-01 23:10:31		freshwater	no	

Cypridinidae	family	2025-05-01 23:10:31		marine	no	

Cytheridae	family	2025-05-01 23:10:31		marine	no	

Cytherideidae	family	2025-05-01 23:10:31		marine	no	

Cytheruridae	family	2025-05-01 23:10:31		marine	no	

Daesiidae	family	2025-05-01 23:10:31		desert	no	

Daphniidae	family	2025-05-01 23:10:31		freshwater	no	herbivore

Darwinulidae	family	2025-05-01 23:10:31		freshwater	no	omnivore

Decapoda	order	2025-05-01 23:10:31		marine	no	omnivore

Delphacidae	family	2025-05-01 23:10:31		grassland	no	herbivore

Demodicidae	family	2025-05-01 23:10:31		forest	no	carnivore

Derbidae	family	2025-05-01 23:10:31		forest	yes	herbivore

Dermaptera	order	2025-05-01 23:10:31		soil	no	omnivore

Deroplatyidae	family	2025-05-01 23:10:31		forest	no	carnivore

Diapheromeridae	family	2025-05-01 23:10:31		forest	no	herbivore

Dicyrtomidae	family	2025-05-01 23:10:31		soil	no	omnivore

Diplatyidae	family	2025-05-01 23:10:31		soil	no	

Diplocentridae	family	2025-05-01 23:10:31		soil	no	

Diplopoda	class	2025-05-01 23:10:31			no	

Diplura	order	2025-05-01 23:10:31		soil	no	

Diptera	order	2025-05-01 23:10:31		varied	yes	parasite

Dryopidae	family	2025-05-01 23:10:31		freshwater	no	

Echinodermata	phylum	2025-05-01 23:10:31			no	

Echinophthiriidae	family	2025-05-01 23:10:31		marine	no	parasite

Ectobiidae	family	2025-05-01 23:10:31		urban	no	

Ectopsocidae	family	2025-05-01 23:10:31		forest	no	parasite

Elateridae	family	2025-05-01 23:10:31		soil, forest	no	

Elenchidae	family	2025-05-01 23:10:31		forest	yes	parasite

Elipsocidae	family	2025-05-01 23:10:31		forest	no	

Embiidae	family	2025-05-01 23:10:31		soil	no	

Embioptera	order	2025-05-01 23:10:31		soil	no	

Empusidae	family	2025-05-01 23:10:31		grassland	no	

Entognatha	class	2025-05-01 23:10:31			no	

Entomobryidae	family	2025-05-01 23:10:31		soil	no	

Entomobryomorpha	order	2025-05-01 23:10:31		soil	no	

Eosentomidae	family	2025-05-01 23:10:31		soil	no	

Ephemerellidae	family	2025-05-01 23:10:31		freshwater	yes	

Ephemeridae	family	2025-05-01 23:10:31		freshwater, soil	yes	

Ephemeroptera	order	2025-05-01 23:10:31		freshwater	no	

Ephydridae	family	2025-05-01 23:10:31		freshwater	yes	

Epipsocidae	family	2025-05-01 23:10:31		forest	no	

Erebidae	family	2025-05-01 23:10:31		forest, grassland	yes	

Eremobatidae	family	2025-05-01 23:10:31		desert	no	

Eriophyidae	family	2025-05-01 23:10:31		forest, grassland	no	parasite

Eukarya	domain	2025-05-01 23:10:31			no	

Fanniidae	family	2025-05-01 23:10:31		urban, soil	yes	

Flatidae	family	2025-05-01 23:10:31		forest	yes	parasite

Forficulidae	family	2025-05-01 23:10:31		soil	no	

Formicidae	family	2025-05-01 23:10:31		soil	no	

Formicinae	family	2025-05-01 23:10:31		soil	no	

Fulgoridae	family	2025-05-01 23:10:31		grassland	no	

Galeodidae	family	2025-05-01 23:10:31		desert	no	

Garypidae	family	2025-05-01 23:10:31		forest	no	

Garypinidae	family	2025-05-01 23:10:31		forest	no	parasite

Geogarypidae	family	2025-05-01 23:10:31		desert	no	

Geometridae	family	2025-05-01 23:10:31		forest	yes	

Geophilidae	family	2025-05-01 23:10:31		soil	no	

Geophilomorpha	order	2025-05-01 23:10:31		soil	no	

Gerridae	family	2025-05-01 23:10:31		freshwater	no	

Glomerida	order	2025-05-01 23:10:31		soil	no	

Glomeridae	family	2025-05-01 23:10:31		soil	no	

Glossinidae	family	2025-05-01 23:10:31		forest	yes	

Glossosomatidae	family	2025-05-01 23:10:31		freshwater	yes	

Godzilliidae	family	2025-05-01 23:10:31		marine	no	

Gomphidae	family	2025-05-01 23:10:31		freshwater	yes	

Gryllidae	family	2025-05-01 23:10:31		grassland	no	

Gryllotalpidae	family	2025-05-01 23:10:31		soil	no	

Gyrinidae	family	2025-05-01 23:10:31		freshwater	yes	

Gyropidae	family	2025-05-01 23:10:31		marine	no	parasite

Hadruridae	family	2025-05-01 23:10:31		desert	no	

Haematopinidae	family	2025-05-01 23:10:31		forest	no	parasite

Halictidae	family	2025-05-01 23:10:31		grassland	no	

Halictophagidae	family	2025-05-01 23:10:31		forest	no	parasite

Haplophtalmidae	family	2025-05-01 23:10:31		freshwater	no	

Hectopsyllidae	family	2025-05-01 23:10:31		forest	no	parasite

Helicopsychidae	family	2025-05-01 23:10:31		freshwater	yes	

Hemiptera	order	2025-05-01 23:10:31		grassland	no	

Heptageniidae	family	2025-05-01 23:10:31		freshwater	yes	

Hesperentomidae	family	2025-05-01 23:10:31		soil	no	

Heteroptera	family	2025-05-01 23:10:31		forest, grassland, freshwater	no	

Heteropterygidae	family	2025-05-01 23:10:31		forest	no	

Hexapoda	class	2025-05-01 23:10:31			no	

Himantariidae	family	2025-05-01 23:10:31		freshwater	no	

Hodotermitidae	family	2025-05-01 23:10:31		desert	no	

Holothuroidea	class	2025-05-01 23:10:31			no	

Hoplopleuridae	family	2025-05-01 23:10:31		forest	no	parasite

Hormuridae	family	2025-05-01 23:10:31		soil	no	

Hydrachnidae	family	2025-05-01 23:10:31		freshwater	no	parasite

Hydrophilidae	family	2025-05-01 23:10:31		freshwater	no	

Hydropsychidae	family	2025-05-01 23:10:31		freshwater	yes	

Hydroptilidae	family	2025-05-01 23:10:31		freshwater	yes	

Hydrozoa	class	2025-05-01 23:10:31			no	

Hydryphantidae	family	2025-05-01 23:10:31		freshwater	no	parasite

Hygrobatidae	family	2025-05-01 23:10:31		freshwater	no	

Hymenopodidae	family	2025-05-01 23:10:31		grassland	no	

Hymenoptera	order	2025-05-01 23:10:31		grassland	no	

Hypogastruridae	family	2025-05-01 23:10:31		soil	no	

Ichneumonidae	family	2025-05-01 23:10:31		forest	yes	parasite

Ideoroncidae	family	2025-05-01 23:10:31		forest	no	parasite

Inocelliidae	family	2025-05-01 23:10:31		forest	yes	

Insecta	class	2025-05-01 23:10:31			no	

Ischyropsalidae	family	2025-05-01 23:10:31		soil	no	

Isoentomidae	family	2025-05-01 23:10:31		soil	no	

Isopoda	order	2025-05-01 23:10:31		soil	no	

Isotomidae	family	2025-05-01 23:10:31		soil	no	

Issidae	family	2025-05-01 23:10:31		forest	no	

Ixodida	order	2025-05-01 23:10:31		grassland	no	parasite

Ixodidae	family	2025-05-01 23:10:31		forest	no	parasite

Japygidae	family	2025-05-01 23:10:31		soil	no	

Julida	order	2025-05-01 23:10:31		soil	no	

Julidae	family	2025-05-01 23:10:31		soil	no	

Kalotermitidae	family	2025-05-01 23:10:31		forest	no	

Labiduridae	family	2025-05-01 23:10:31		soil	no	

Labiidae	family	2025-05-01 23:10:31		soil	no	

Lachesillidae	family	2025-05-01 23:10:31		soil	no	

Lampyridae	family	2025-05-01 23:10:31		forest	yes	

Lepidoptera	order	2025-05-01 23:10:31		forest, grassland	yes	

Lepidostomatidae	family	2025-05-01 23:10:31		freshwater	yes	

Lepismaeidae	family	2025-05-01 23:10:31		soil	no	

Lepismatidae	family	2025-05-01 23:10:31		soil	no	

Leptoceridae	family	2025-05-01 23:10:31		freshwater	yes	

Leptophlebiidae	family	2025-05-01 23:10:31		freshwater	yes	

Leptopsyllidae	family	2025-05-01 23:10:31		forest	no	parasite

Lestidae	family	2025-05-01 23:10:31		freshwater	yes	

Lestremiidae	family	2025-05-01 23:10:31		soil	yes	

Leuctridae	family	2025-05-01 23:10:31		freshwater	yes	

Libellulidae	family	2025-05-01 23:10:31		freshwater	yes	

Ligididae	family	2025-05-01 23:10:31		freshwater	no	

Limnephilidae	family	2025-05-01 23:10:31		freshwater	yes	

Limnocharidae	family	2025-05-01 23:10:31		freshwater	no	

Liposcelididae	family	2025-05-01 23:10:31		soil, urban, forest	yes	

Lithobiomorpha	order	2025-05-01 23:10:31		soil	no	

Liturgusidae	family	2025-05-01 23:10:31		forest	no	

Lonchodidae	family	2025-05-01 23:10:31		forest	no	

Lucanidae	family	2025-05-01 23:10:31		forest	no	

Lycaenidae	family	2025-05-01 23:10:31		forest	yes	

Lycidae	family	2025-05-01 23:10:31		forest	no	

Lycosidae	family	2025-05-01 23:10:31		urban	no	

Lygaeidae	family	2025-05-01 23:10:31		grassland	no	

Macrochelidae	family	2025-05-01 23:10:31		soil	no	

Macromiidae	family	2025-05-01 23:10:31		freshwater	yes	

Macronyssidae	family	2025-05-01 23:10:31		soil	no	parasite

Malacostraca	class	2025-05-01 23:10:31			no	

Mantidae	family	2025-05-01 23:10:31		grassland	no	

Mantodea	order	2025-05-01 23:10:31		grassland	no	

Mecistocephalidae	family	2025-05-01 23:10:31		soil	no	

Mecoptera	order	2025-05-01 23:10:31		forest	yes	

Megachilidae	family	2025-05-01 23:10:31		forest	no	

Megaloptera	order	2025-05-01 23:10:31		freshwater	no	

Melanoblossiidae	family	2025-05-01 23:10:31		desert	no	

Meloidae	family	2025-05-01 23:10:31		grassland, desert	no	

Menoponidae	family	2025-05-01 23:10:31		forest	no	parasite

Mesopsocidae	family	2025-05-01 23:10:31		soil	yes	

Mesostigmata	order	2025-05-01 23:10:31		soil	no	parasite

Micropacteridae	family	2025-05-01 23:10:31		soil	no	

Miridae	family	2025-05-01 23:10:31		forest, grassland	no	

Muscidae	family	2025-05-01 23:10:31		urban	yes	

Mycetophilidae	family	2025-05-01 23:10:31		forest	yes	

Myodocopida	order	2025-05-01 23:10:31		marine	no	

Myopsocidae	family	2025-05-01 23:10:31		soil	yes	

Myrmecolacidae	family	2025-05-01 23:10:31		forest	no	parasite

Neanuridae	family	2025-05-01 23:10:31		soil	no	

Nectiopoda	order	2025-05-01 23:10:31		marine	no	

Nemastomatidae	family	2025-05-01 23:10:31		soil	no	

Nemouridae	family	2025-05-01 23:10:31		freshwater	yes	

Neobisiidae	family	2025-05-01 23:10:31		soil	no	

Neopilionidae	family	2025-05-01 23:10:31		soil	no	

Nephilidae	family	2025-05-01 23:10:31		forest	yes	

Nepidae	family	2025-05-01 23:10:31		freshwater	no	

Neuroptera	order	2025-05-01 23:10:31		forest	no	

Noctuidae	family	2025-05-01 23:10:31		forest	yes	

Notodontidae	family	2025-05-01 23:10:31		forest	yes	

Notodromadidae	family	2025-05-01 23:10:31		freshwater	no	

Notonectidae	family	2025-05-01 23:10:31		freshwater	no	

Notostraca	order	2025-05-01 23:10:31		freshwater	no	

Nymphalidae	family	2025-05-01 23:10:31		forest	yes	

Odonata	order	2025-05-01 23:10:31		freshwater	no	

Oligotomidae	family	2025-05-01 23:10:31		soil	no	

Olindiidae	family	2025-05-01 23:10:31		marine	no	parasite

Olpiidae	family	2025-05-01 23:10:31		soil	no	

Oniscidae	family	2025-05-01 23:10:31		freshwater	no	

Onychiuridae	family	2025-05-01 23:10:31		soil	no	

Onychophora	phylum	2025-05-01 23:10:31			no	

Opiliones	order	2025-05-01 23:10:31		soil	no	

Oppiidae	family	2025-05-01 23:10:31		soil	no	

Orthoptera	order	2025-05-01 23:10:31		grassland	no	

Ostracoda	class	2025-05-01 23:10:31			no	

Pachybolidae	family	2025-05-01 23:10:31		soil	no	

Panorpidae	family	2025-05-01 23:10:31		forest, grassland	yes	

Papilionidae	family	2025-05-01 23:10:31		forest	yes	

Paradoxosomatidae	family	2025-05-01 23:10:31		soil	no	

Parajapygidae	family	2025-05-01 23:10:31		soil	no	

Paranonychidae	family	2025-05-01 23:10:31		soil	no	

Paronellidae	family	2025-05-01 23:10:31		soil	no	

Parthenopidae	family	2025-05-01 23:10:31		freshwater	no	

Pedicinidae	family	2025-05-01 23:10:31		forest	no	parasite

Pediculidae	family	2025-05-01 23:10:31		urban	no	parasite

Peltoperlidae	family	2025-05-01 23:10:31		freshwater	yes	

Pentatomidae	family	2025-05-01 23:10:31		forest, grassland	no	

Peripatidae	family	2025-05-01 23:10:31		forest	no	

Peripatopsidae	family	2025-05-01 23:10:31		forest	no	

Peripsocidae	family	2025-05-01 23:10:31		soil	no	

Perlidae	family	2025-05-01 23:10:31		freshwater	yes	

Perlodidae	family	2025-05-01 23:10:31		freshwater	yes	

Phalangiidae	family	2025-05-01 23:10:31		soil	no	

Phalangodidae	family	2025-05-01 23:10:31		soil	no	

Phaneropterinae	family	2025-05-01 23:10:31		forest	yes	

Phasmatidae	family	2025-05-01 23:10:31		forest	no	

Phasmatodea	order	2025-05-01 23:10:31		forest	no	

Philopteridae	family	2025-05-01 23:10:31		soil	no	

Philosciidae	family	2025-05-01 23:10:31		soil	no	

Philotarsidae	family	2025-05-01 23:10:31		forest	no	

Phlaeothripidae	family	2025-05-01 23:10:31		grassland	no	

Phryganeidae	family	2025-05-01 23:10:31		freshwater	yes	

Phrynichidae	family	2025-05-01 23:10:31		soil	no	

Phrynidae	family	2025-05-01 23:10:31		soil	no	

Phthiraptera	order	2025-05-01 23:10:31		forest	no	parasite

Phylliidae	family	2025-05-01 23:10:31		forest	no	

Phyllodocida	order	2025-05-01 23:10:31		soil	no	

Phytoseiidae	family	2025-05-01 23:10:31		soil	no	

Pieridae	family	2025-05-01 23:10:31		forest	yes	

Pionidae	family	2025-05-01 23:10:31		forest	no	parasite

Pisauridae	family	2025-05-01 23:10:31		urban	no	

Platyarthridae	family	2025-05-01 23:10:31		soil	no	

Platycnemididae	family	2025-05-01 23:10:31		freshwater	yes	

Platydesmida	order	2025-05-01 23:10:31		soil	no	

Plecoptera	order	2025-05-01 23:10:31		freshwater	no	

Plutellidae	family	2025-05-01 23:10:31		forest	yes	

Podocopida	order	2025-05-01 23:10:31		marine	no	

Poduromorpha	order	2025-05-01 23:10:31		soil	no	

Polycentropodidae	family	2025-05-01 23:10:31		freshwater	yes	

Polychaeta	class	2025-05-01 23:10:31			no	

Polydesmida	order	2025-05-01 23:10:31		soil	no	

Polynoidae	family	2025-05-01 23:10:31		marine	no	

Polyplacidae	family	2025-05-01 23:10:31		marine	no	

Pompilidae	family	2025-05-01 23:10:31		forest	no	parasite

Porcellionidae	family	2025-05-01 23:10:31		freshwater	no	

Potamanthidae	family	2025-05-01 23:10:31		freshwater	yes	

Protentomidae	family	2025-05-01 23:10:31		soil	no	

Protoneuridae	family	2025-05-01 23:10:31		freshwater	yes	

Protroctopsocidae	family	2025-05-01 23:10:31		soil	no	

Protura	order	2025-05-01 23:10:31		soil	no	

Pseudomyrmecinae	family	2025-05-01 23:10:31		forest	no	

Pseudophasmatidae	family	2025-05-01 23:10:31		forest	no	

Pseudoscorpiones	order	2025-05-01 23:10:31		soil	no	

Pseudostigmatidae	family	2025-05-01 23:10:31		freshwater	yes	

Psocidae	family	2025-05-01 23:10:31		soil	no	

Psocodea	order	2025-05-01 23:10:31		soil	no	parasite

Psychodidae	family	2025-05-01 23:10:31		soil	yes	

Pteromalidae	family	2025-05-01 23:10:31		forest	yes	parasite

Pteronarcyidae	family	2025-05-01 23:10:31		freshwater	yes	

Pthiridae	family	2025-05-01 23:10:31		forest	no	parasite

Ptinidae	family	2025-05-01 23:10:31		forest	no	

Pulicidae	family	2025-05-01 23:10:31		forest	no	parasite

Pyemotidae	family	2025-05-01 23:10:31		soil	no	

Pyralidae	family	2025-05-01 23:10:31		forest	yes	

Pyrgomorphidae	family	2025-05-01 23:10:31		grassland	no	

Pyrrhocoridae	family	2025-05-01 23:10:31		soil	no	

Raphidiidae	family	2025-05-01 23:10:31		forest	yes	

Raphidioptera	order	2025-05-01 23:10:31		forest	yes	

Reduviidae	family	2025-05-01 23:10:31		varied	no	

Remipedia	order	2025-05-01 23:10:31		marine	no	

Rhagodidae	family	2025-05-01 23:10:31		desert	no	

Rhinotermitidae	family	2025-05-01 23:10:31		forest	no	

Rhyacophilidae	family	2025-05-01 23:10:31		freshwater	yes	

Ricaniidae	family	2025-05-01 23:10:31		forest	no	

Ricinoididae	family	2025-05-01 23:10:31		soil	no	

Ricinulei	order	2025-05-01 23:10:31		soil	no	

Sabaconidae	family	2025-05-01 23:10:31		soil	no	

Salticidae	family	2025-05-01 23:10:31		forest	no	

Sarcophagidae	family	2025-05-01 23:10:31		forest	yes	parasite

Sarcoptidae	family	2025-05-01 23:10:31		soil	no	

Sarcoptiformes	order	2025-05-01 23:10:31		soil	no	parasite

Sarscyprididae	family	2025-05-01 23:10:31		freshwater	no	

Saturniidae	family	2025-05-01 23:10:31		forest	yes	

Scarabaeidae	family	2025-05-01 23:10:31		soil	no	

Sciaridae	family	2025-05-01 23:10:31		forest	yes	

Sclerosomatidae	family	2025-05-01 23:10:31		soil	no	

Scoliidae	family	2025-05-01 23:10:31		forest	no	

Scolopendridae	family	2025-05-01 23:10:31		soil	no	

Scolopendromorpha	order	2025-05-01 23:10:31		soil	no	

Scolytidae	family	2025-05-01 23:10:31		forest	no	

Scorpiones	order	2025-05-01 23:10:31		desert	no	

Scorpionidae	family	2025-05-01 23:10:31		soil	no	

Scorpiopidae	family	2025-05-01 23:10:31		soil	no	

Scutigeridae	family	2025-05-01 23:10:31		urban	no	

Sericostomatidae	family	2025-05-01 23:10:31		freshwater, soil	yes	

Sesarmidae	family	2025-05-01 23:10:31		freshwater	no	

Sialidae	family	2025-05-01 23:10:31		freshwater	yes	

Sicariidae	family	2025-05-01 23:10:31		soil	no	

Silphidae	family	2025-05-01 23:10:31		soil	no	

Simuliidae	family	2025-05-01 23:10:31		freshwater	yes	

Sinentomidae	family	2025-05-01 23:10:31		soil	no	

Siphonaptera	order	2025-05-01 23:10:31		forest	no	parasite

Siphonophorida	order	2025-05-01 23:10:31		marine	no	

Siphonorhinidae	family	2025-05-01 23:10:31		soil	no	

Sminthurididae	family	2025-05-01 23:10:31		soil	no	

Solifugae	order	2025-05-01 23:10:31		desert	no	

Solpugidae	family	2025-05-01 23:10:31		soil	no	

Speleonectidae	family	2025-05-01 23:10:31		soil	no	

Sphecidae	family	2025-05-01 23:10:31		forest, grassland	no	

Sphingidae	family	2025-05-01 23:10:31		forest	yes	

Spirobolida	order	2025-05-01 23:10:31		soil	no	

Spirobolidae	family	2025-05-01 23:10:31		forest	no	

Spirostreptida	order	2025-05-01 23:10:31		soil	no	

Spirostreptidae	family	2025-05-01 23:10:31		soil	no	

Spongiphoridae	family	2025-05-01 23:10:31		forest	no	parasite

Staphylinidae	family	2025-05-01 23:10:31		soil	no	

Stenopsocidae	family	2025-05-01 23:10:31		soil	no	

Stichopodidae	family	2025-05-01 23:10:31		marine	no	

Strepsiptera	order	2025-05-01 23:10:31		forest	no	parasite

Streptocephalidae	family	2025-05-01 23:10:31		freshwater	no	

Stylopidae	family	2025-05-01 23:10:31		forest	no	parasite

Superstitioniidae	family	2025-05-01 23:10:31		forest	no	parasite

Syarinidae	family	2025-05-01 23:10:31		soil	no	

Symphypleona	order	2025-05-01 23:10:31		soil	no	

Synallactida	order	2025-05-01 23:10:31		marine	no	

Syrphidae	family	2025-05-01 23:10:31		forest, grassland	yes	

Tabanidae	family	2025-05-01 23:10:31		forest	yes	

Taeniopterygidae	family	2025-05-01 23:10:31		freshwater	yes	

Tarachodidae	family	2025-05-01 23:10:31		forest	no	parasite

Tenebrionidae	family	2025-05-01 23:10:31		desert	no	

Teratembiidae	family	2025-05-01 23:10:31		forest	no	parasite

Termitidae	family	2025-05-01 23:10:31		urban	no	

Tetranychidae	family	2025-05-01 23:10:31		urban, grassland	no	

Tetrigidae	family	2025-05-01 23:10:31		grassland	no	

Tettigoniidae	family	2025-05-01 23:10:31		grassland	no	

Thelyphonida	order	2025-05-01 23:10:31		soil	no	

Thelyphonidae	family	2025-05-01 23:10:31		soil	no	

Theraphosidae	family	2025-05-01 23:10:31		forest	no	

Theridiidae	family	2025-05-01 23:10:31		forest	no	

