#==============================================================================#
#                                   ENGLISH                                    #
#==============================================================================#
#                                                                              #
# GENERAL NOTES                                                                #
# Feel free to edit this file to change the text displayed during the game.    #
# However, be careful with changing button texts. Some buttons do scale to     #
# their text size, others don't. So, if you happen to notice ill behavior,     #
# try to shorten your button text.                                             #
# Many of the texts and phrases given here have wildcard symbols: %s and %d.   #
# %s represents a string (text) that the wildcard will be replaced with in     #
# the game. %d represents a number. DO NOT delete or add any wildcards by      #
# yourself! Also, be sure to check what these wildcards represent if you       #
# like to change a phrase with wildcards.                                      #
# Some of the phrases contain HTML code. If you know how to write HTML code,   #
# feel free to change whatever you like, but DO NOT remove or add <html> tags. #
# Also note that Java only supports HTML 3.01 and just some of the basic CSS   #
# elements. You'll need to experminent a bit to receive best results.          #
# Finally, like you've probably noticed already, lines starting with '#' and   #
# empty lines in this document will be ignored by the game.                    #
#                                                                              #
#==============================================================================#
#
# All available languages.
# Please add a line for each newly added language in each language file.
# NOTE! Each language needs to be made out of two characters, preferrably
# using the international standard abbreviation.
# NOTE! The game will crash if the file name and the abbreviation provided
# here do not match.
#

de	German
logDiveBar			<b>%s</b> visits the Dive Bar and loses <b>%s</b> there.
logChangeShip		<b>%s</b> swaps one of their ships for: <b>%s (%d)</b>

logBuildingRemoved	A building has been removed from the game: <b>%s (%d)</b>
logFinalPhase		[Final Action Phase]
logFoodDemand		<b>%s</b> are due at the end of the round.
logFoodNeeded		<b>%s</b> needs to pay <b>%s</b>.
logFoodSupplied		<b>%s</b> has enough food from ships.
logHarvest			<b>%s</b> receives %s in the harvest.
logNewRound			[Round %d]
logNewShip			A new ship enters the game: <b>%s (%d)</b>
logNewSpecial		The town constructs a new special building: <b>%s (%d)</b>
logNewStack			A new building is placed on a building stack: <b>%s (%d)</b>
logNewStandard		The town constructs a new standard building: <b>%s (%d)</b>
logRoundEnd			<b>Round %d</b> is finished.

logPayment			<b>%s</b> discards %s.
logTakeLoan			<b>%s</b> takes %s.
logInterest			<b>%s</b> pays %s of interest.
logPayback			<b>%s</b> returns %s.
logLose				<b>%s</b> loses %s.
logReceive			<b>%s</b> receives %s.
logEnergy			<b>%s</b> pays the energy cost with %s.

logNoInterest		<b>%s</b> doesn't pay interest due to the Stock Market.
logRattletrapCar	<b>%s</b> takes the Rattletrap Car.
logSouvenirShop		<b>%s</b> receives <b>%s</b> from the Souvenir Shop.
logStockMarket		<b>%s</b> receives <b>%s</b> from the Stock Market.

#
# Text visible in the main window.
#

mainTitle		%s - An Economic Game by Uwe Rosenberg

mainBack		< < <
mainContinue	> > >

mainCapacity	Capacity: %d
mainEnergy		Energy: %s
mainFood		Food: %s
mainMoney		Francs: %d
mainPoints		Score: %s
mainTurns		Turns Left: %d

mainChat		Open Chat
mainHelp		Help Window
mainStacks		Building Stacks
mainShips		Available Ships
mainSuffix		er
mainFinalPhase	Final Action
mainRound		Round %d/%d
mainRoundEnd	End of Round

mainBackInfo		Click here to restart your turn and take back all actions.
mainBuildingInfo	This building will be built by the town <b>%s</b>.%s
mainCapacityInfo	The <b>capacity</b> is the amount of goods you're able to ship on the Shipping Line.
mainContinueInfo	Click here to finish your turn after performing the main action.
mainEnergyInfo		The sum of the energy values of your goods.
mainFoodDeficiency	<b>You are missing food for the end of the round!</b> You need to have <b>%s</b> by the end of the round, but currently you have only <b>%s</b>.
mainFoodInfo		The sum of the food values of your goods.
mainFoodSupply		You need to pay <b>%s</b> less at the end of the round.
mainLoans			You currently have got <b>%s</b>. Loans may be returned for <b>%s</b>, otherwise they count as <b>&ndash;%s</b> at the end of the game.
mainPointsInfo		Your current score, i. e. the victory points from your money, ships, buildings and bonuses, as well as loans.
mainSpecial			Special buildings left: <b>%d</b>. The next one will be built <b>%s</b>.%s
mainTurnsInfo		The amount of turns left you have until the game ends (including final action).

mainInstructions
	<h1>The Main Window</h1>
	<p>The main window opens once the game initiator hits one of his two buttons.
	The starting player will be notified to do their move, now. But let us first see what
	elements we can find in the main window.</p>
	<h2>The Game Board</h2>
	<p>In the upper part of the main window you'll find the familiar <b>game board</b>.
	All <b>buildings</b> are stacked like in the board game and if you're playing the long game
	the back of a <b>special building</b> card can be seen in the proper place. The <b>supply
	tokens</b> and <b>round cards</b> are laid out.</p>
	<p>Let us look at the <b>offer spaces</b>: You can see a good on each of the offer spaces
	and a number underneath. The number tells you how many goods of that type are lying on the
	offer space. If there are no goods of that type, you'll see a 0 and the whole space is greyed
	out.</p>
	<p>You'll notice that the <b>supply spaces</b> are empty. They are not needed in the computer
	game. The game will do everything automatically as far as possible.</p>
	<h2>The Game Logo</h2>
	<p>There is the well-known Le Havre logo above the game board. If you right-click it, a context
	menu will be opened with 4 options. The first one allows you to create a savegame file. The next
	one opens a window with debug information. If you encounter a bug in the game, quickly open this
	debug window, copy and paste the text into a file and send it to my email address with further
	information on what you've done to get the bug. This will help to fix it.</p>
	<p>Sometimes, when playing online with other players, a weird bug may corrupt another player's
	game state. In this case, you should try to synchronize game states by selecting the third option
	of the logo context menu. This is an untested feature (you know, it's hard to cause bugs on purpose),
	so use it with caution.</p>
	<p>The last option opens a window with some general information about the game.</p>
	<h2>The Buttons</h2>
	<p>On and above the game board you'll notice some buttons. Above and below the round card are
	the two buttons to <b>finish</b> your turn or completely <b>redo</b> it (if you've messed up
	your move). They are greyed out if you can't use them and turn light orange as soon as they are
	available (after you've performed an action, for instance).</p>
	<p>Above the game board, you'll find 6 buttons on the right side, they are more important during
	the game. One of them opens the <b>Help Window</b> that you're currently reading. In case you've
	forgotten how to do something in the game, make sure you look it up here.</p>
	<p>Another button re-opens the <b>Chat Window</b> if you've closed it by accident. Please note, that
	the chat window opens itself whenever a message was received, either from another player or the system.</p>
	<p>Another button is quite useful during the game as it opens a window that lists all the buildings lying
	in the <b>Building Stacks</b>, so you can easily look them up with a quick glance. As everything in the
	window is rather tiny, you might want to check this information frequently before building. Usually,
	you need to put the mouse over a card to open a tooltip window that shows a much larger image of
	the card that is easily legible. Also, this popup window shows you the overall building costs of all
	the remaining buildings and their added-up prices for quick reference.</p>
	<p>The fourth button does the same as the previously described one, but for the ships within the
	<b>Ship Stacks</b>. It lists all the ships in the order they are lying in their stacks. As you can
	see just the topmost ship card on each stack during the game, it might be helpful to look here from
	time to time to know which other ships are lying in the stack underneath the topmost one.</p>
	<p>The last two buttons are fake buttons that just show you some information directly. One tells
	you the <b>Round</b> you're currently in and how many rounds will be played in total, the other one
	tells you whose <b>Turn</b> it is.</p>
	<p>There are a few more things to mention about the game board that might be pretty useful during
	the game. If you right-click any card or chit in the game you can choose <b><i>Details</i></b> from
	the displayed options to get all the information you need on the object in text format. If you hold
	the mouse over an element, a <b>Tooltip</b> opens a larger image (as mentioned above) for 5 seconds.
	The <b>Special Buildings</b> card, for instance, tells you how many special buildings are still in the
	stack, when the next one is due and whose turn it will be at the moment of construction.</p>
	<p>As long as there are standard buildings to be built during the game, you'll notice a small <b>Red
	Warning Triangle</b> on one of the buildings in the building stacks. This is the next building to be
	built by the town. Place the mouse over this icon to get further information like when this will
	happen and which player will be the first to be able to enter this building once it is built.</p>
	<h2>The Tabbed Sections</h2>
	<p>Below the game board there is a small area with tabs for the <b>Players</b> and the <b>Town</b>.
	Here you can switch between the tabs to see the cards and goods owned by a specific player as well
	as a lot of information on their game progress. The tabs are sorted by play order with the town tab
	being the first one.</p>
	<p>The town tab shows the <b>Overview Card</b> for the proper number of players and game type, so that
	you can easily check out the next round cards to come. Next to the overview card are all the buildings
	and ships in the town's possession in the order of their appearance.</p>
	<p>A player tab contains much more information. The next section describes in detail what you can find
	in any player's tab.</p>
	<h2>The Player Tabs</h2>
	<p>The player tab consists of six main parts. You'll find four of them at the top of the tab and the last
	two at the bottom. Please note, that each tab is painted in the player's color.</p>
	<p>At the top of the player tab are these four sections: the buttery, the goods panel, the
	information panel and the loan card. The <b>Buttery</b> holds a ship token that shows the number of food
	you're getting from all of your ships at the end of a round. During the game you might notice a big
	<b>Yellow Warning Triangle</b> here that indicates that you've got less food than needed at the end of
	the current round. This symbol disappears once you've got enough food and reappears whenever this state
	changes. Of course, it includes all available sources of food: food from your ships, food from your goods
	and your current cash.</p>
	<p>Next to the buttery there is the <b>Goods Panel</b>. It shows all of the 16 available goods in the game,
	the 8 basic ones and their 8 upgraded versions. A number below a good tells you how many goods you own
	of that type. Good and number are greyed out if you don't own any chits of the specific type. You won't find
	your francs here. Cash is displayed in the next section.</p>
	<p>The <b>Information Panel</b> gives you some useful information on your game progress. Firstly, it shows
	you how many ships of each type there are in your possession for a quick reference, and it sums up their
	shipping capacities (to ship goods on the Shipping Line). Next to it you'll find information on your overall
	cash (francs), food (sum of all food values of your goods) and energy (sum of all energy values of your goods).</p>
	<p>If the option to view the victory points is set (this can be done in the Settings Window before the game starts),
	you'll see them below the information mentioned above.
	Regardless of this, the total number of turns you've got before the game ends is displayed. Please note,
	this number does not include your current turn if it's your turn. It does, however, include the final action.</p>
	<p>At the right hand side of the information panel you'll finally find a <b>Craft</b>, <b>Hammer</b> and
	<b>Fishing</b> symbol and numbers next to them. They tell you, how many of these symbols you own. The game
	does not, however, count the other building symbols as they are only used on bonus buildings.</p>
	<p>Finally, the top row of a player tab shows a <b>Loan Card</b>. It tells you how many loans you have and
	gives you information on payback and the penalty if you don't pay them back in its tooltip. Right-click the
	card to pay back some or all loans. This is, by the way, done automatically by the game at the end of it.
	If you have no loans, the card is greyed out.</p>
	<p>Now, let us look at the final two sections of the player tab. Below the buttery card there is the
	<b>Ships Panel</b> that will hold all of your ship cards you'll own. They will be placed staggered like
	in the building stacks to save space. Their amounts will be displayed in the information panel anyway,
	so this doesn't hurt.</p>
	<p>Finally, next to the ships panel, there is the <b>Buildings Panel</b>. It holds all of your buildings
	in a specific order. 8 buildings fit into one row, so if you own more than 8, you'll need to scroll down
	to see the other ones. The order they're sorted is the following: the starting buildings (B1, B2 and B3)
	will always be placed first. All enterable special buildings will be placed next to them in the order of
	their numbers (highest number first). Next to them, you'll find your enterable standard buildings in the
	order of their numbers. Finally, the non-enterable buildings are placed at the end of the list. This order
	will suit most purposes as you'll want to use higher numbered buildings later in the game, and preferrably
	the special buildings over the standard ones.</p>
	<h1>The Game Components in Detail</h1>
	<p>In this section I will talk about the various game components you know from the board game and what you
	can do with them in the computer game.</p>
	<h2>The Supply Tokens</h2>
	<p>The supply tokens are placed on the appropriate spaces on the game board at the beginning of the game.
	They will be revealed during the first round and stay where they are unvealed during the rest of the game.
	Place the mouse over one of them to view a bigger version of the image. Right-click the chit to open the
	context menu and choose the details option. It'll open a popup window that tells you what you can see on
	the supply token. The players' ship markers will be placed on the supply chits when the game progresses
	and moved automatically from turn to turn. Hold the mouse over a ship token to view its owner.</p>
	<h2>The Goods Chits</h2>
	<p>You can find goods chits on various places in the game. They lay out on the offer spaces and in the
	goods panel of each player. But they may also appear in various dialog windows during the game. Hold
	the mouse over a chit to view a bigger version of it. Right-click the chit and choose <i>Details</i>
	to get the information on the chit in text format. The goods on the offer spaces additionally show the
	<i>Take</i> option in their context menus. Choose it if it's your turn and you wish to take an offer.
	Alternatively, double-click the offered good chit to take the offer.</p>
	<h2>The Round Card</h2>
	<p>The round card shows information about the end of the current round. It tells you how many food you need to pay,
	if there is a harvest, and which (if any) building will be built next. The appropriate line is marked with
	a thick black border to help you find it more easily (as I use the original cards). Hold the mouse over
	the card to see a bigger version or choose "details" from the context menu for the information in text
	format.</p>
	<h2>The Special Building Card</h2>
	<p>This card does not have any purpose. It just tells you how many special buildings are still in the
	stack. If you play the short game, you won't see this card.</p>
	<h2>Buildings and Ships</h2>
	<p>Buildings and ships both show bigger versions of their image if you hold the mouse over them.
	The <i>Details</i> option from their context menu describes the card in text format. Another option
	from the context menu allows you to sell and buy them. You can sell cards you own at any time, even
	if it's not your turn.</p>
	<p>To build a building or ship you need to enter the appropriate building. Afterwards a symbol appears
	on all the cards you are able to build. Double-click the card to build it or choose the appropriate context menu
	option.</p>
	<p>Most buildings can be entered as your main action. Double-click the building you want to enter or
	choose the appropriate context menu option. If you can't use this building or pay the entry, an error
	message will notify you about this fact. It won't tell you any specifics, though. In this case, choose
	another building to use.</p>
	<p>If you have a building that allows you to ban people from buildings, another option appears in the
	context menu of each building where there is another player. Choose it to perform the ban.</p>
	<p>A last context menu option displays the player who is currently using/blocking this building. Some
	special buildings work differently, like the Construction Site that shows you your handcards.</p>
	<h2>The Red Warning Triangle</h2>
	<p>I've described this triangle in the beginning of the tutorial. It is displayed as long as there
	are buildings in the building stacks that will be built by the town. Hold the mouse over the symbol
	to get further information on when this happens and who will be the first to profit from it.</p>
	<h2>The Buttery</h2>
	<p>The buttery is meaningless. The round ship token on it is more useful as it shows you the amount
	of food you get from your ships at the end of each round. If this number is greater than 0, a tooltip
	will explicitly give you this information.</p>
	<h2>The Yellow Warning Triangle</h2>
	<p>It appears whenever your overall food is lower than needed at the end of the current round and
	vanishes as soon as you've got enough food. Read the description of the player tabs to get further
	information.</p>
	<h1>The Game Flow</h1>
	<p>If it's your turn, a <b>Popup Window</b> will appear and notify you unless you're playing solo.
	Sometimes it might happen to you that you clicked somewhere in the window exactly at the time the
	popup window pops up. This might cause the window to minimize and block any mouse controls. This is
	no error in the game, but rather a problem with your operating system. Just open the popup window by
	clicking on it in the taskbar and close it by hitting its button.</p>
	<p>After you've closed the popup window, you can either take an offer by double-clicking it or enter
	a building by also double-clicking it. Navigate through the tabs to find the building you want to
	enter. In-between you're free to buy and sell your items.</p>
	<p>Once you've done an action, the <b>Redo Button</b> above the round card is activated. Please be
	careful with performing your action and take the time you need to think it over. Try to use the redo
	button as little as possible as it undoes your entire turn and any actions other players did
	simultaneously (paying back loans, selling buildings). Also, the interest payment needs to be
	redone if it was due this turn. However, of course, you won't pay the interest twice. It's more
	that the entire game state will be reset to the state before your turn and so anything that happened
	during your turn must be redone.</p>
	<p>After you've performed the main action of your turn, the <b>Continue Button</b> is activated.
	You need to press it to finish your turn and pass it to the next player. Whenever nothing happens
	during the game, make sure you've hit the continue button if it was your turn.</p>
	<p>Everything you do in your turn will be displayed in the <b>Chat Window</b> to notify all players
	about your moves. This makes it much easier to follow the game. System messages like this will be
	displayed in blue whereas any messages you write will appear red in your chat window and black in
	any other player's window. So, it's no problem to follow the game and the chat between the players.</p>
	<h2>Interest Payment</h2>
	<p>Once in seven turns every player who owns one or more loans will need to pay the interest.
	The game halts at this moment and asks the involved players to make the payment. At this moment,
	you can minimize the payment window and sell items to get cash. Pay back all of your loans to
	avoid the interest payment or collect cash to pay it. Anyway, if you hit the button in the
	payment window, the game performs the payment if you still own at least one loan. If you don't
	have any money to pay, you'll get another loan automatically.</p>
	<h2>Round End</h2>
	<p>The current round ends after seven turns and each player needs to pay the food demand.
	Players who have enough food provided by their ships need not to do anything now. All the
	other players get a payment window and need to enter the goods they want to pay with. You
	can sell items prior to finalizing the payment like during interest payments. If you've got
	less food in goods than needed, you need not to enter anything if you want to pay the rest
	with francs. Just hit the button - the game asks you in this case if you like to pay all
	goods with food values and pay the rest with francs. Hit OK to do it or cancel if you want
	to pay differently (like saving some goods and paying more francs).</p>
	<p>After all players are done, the next round begins. A new ship enters the game and is
	placed on top of the appropriate stack. If there was a harvest, each player matching the
	conditions get their harvested goods. If there is a building to be built, the town gets the
	appropriate building card.</p>
	<h2>The Final Action Phase</h2>
	<p>The final action phase begins after the last round card was evaluated. Each player now has
	one final action and can enter any building except the one they're already in. No goods are
	added to the offer spaces any more, but you can still take them as your final action. Items
	still can be sold, but not purchased as per the rules. After everybody's done with their
	final action, the game ends and the scoring window appears. This will be described later.</p>
	<h1>Entering Buildings</h1>
	<p>Whenever you enter a building the game checks if you're able to pay the entry fee.
	If yes, it then checks if you are able to perform the action. You can't enter a building
	unless you can use it.</p>
	<h2>The Entry Dialog</h2>
	<p>If you need to pay an entry fee, the game first checks if the payment is clear, ie.
	if there is just one way to pay it. In this case, the game performs the payment automatically.
	Otherwise, an entry payment dialog opens and you need to specify how to pay the entry fee.
	You can't overpay in the sense that you freely give more goods than needed, but, of course,
	you may overpay like 1 meat if only 1-2 food was asked.</p>
	<p>After this, you enter the building. If the building has a unique function, it will be
	performed automatically, like getting 1 wood, 1 brick and 1 iron in the Hardware Store.
	Buildings that ask you to pay or choose goods will be described in the next sections.
	Finally, there are some very special buildings that work differently. These won't be
	described here as they are very intuitive.</p>
	<h2>The Process Dialog</h2>
	<p>Process dialogs show up if you enter a building like the Bakehouse, where you need to
	input some goods to get other goods as output. As there always is a unique way to process
	such goods, the dialog consists of the following elements: A description tells you which
	goods you need to put in and which ones you'll get out. It won't mention energy or other
	costs as they are shown on the card and you could've checked prior to entering the building.
	Below the description there is an input box and a number in brackets next to it. The number
	tells you how many "packages" of goods you can throw in. Enter the number of packages you
	want to put in or leave this box empty if you want to throw in as much as possible (the
	number in the brackets). Hit the button once you've entered the information (or not). The
	game now processes your goods. In case you can only process one package, the game won't
	popup the dialog, but process this one package, immediately.</p>
	<h2>The Choice Dialog</h2>
	<p>Choice dialogs appear whenever a building asks you to choose goods you want to get or
	discard, like in the Marketplace. Only the available goods are displayed and a number in
	brackets tells you how many of this type of good there is to choose from. The description
	informs you of hthe minimum and maximum number of goods you need to choose. Enter the
	numbers in the appropriate input boxes and hit the button. There is no way to speed up
	this process as in process dialogs.</p>
	<p>Some special buildings use the choice dialog rather than a process dialog like the Coal
	Trader and Junkyard. Thus, it's not possible to get the full possible load by leaving the
	input boxes empty.</p>
	<h2>The Energy Dialog</h2>
	<p>An energy dialog pops up if you need to pay energy for the current action. Like in the
	food dialog at the end of the round, enter the goods you want to pay with and hit the button.
	If there is only one way to pay, the game does it itself and doesn't pop up a dialog window.</p>
	<h2>The Food Dialog</h2>
	<p>Please do not confuse these with those that pop up at the end of a round. Food dialogs may
	pop up like energy dialogs whenever an action requires you to pay food like a visit to the
	Coal Trader or Junkyard. Again, if there's only one way to pay, the game automatically pays
	this way and doesn't open the dialog.</p>
	<h2>The Marketplace</h2>
	<p>In the long game, if you enter the Marketplace you get to see the two topmost special
	buildings lying on the special buildings stack. These will be displayed only if the game
	still is to build any special buildings. In this case a special dialog window pops up that
	shows you the two buildings and lets you choose which one to place on top. It also informs
	you which players will be the first to use these buildings once they are built. Double-click
	on the building you want to be on top or hit the button if you're content with their order.
	The left one will be on top, the right one underneath.</p>
	<h2>The Shipping Line</h2>
	<p>Due to performance this building is slightly counter-intuitive, therefore I need to
	describe its functionality here. If you enter the Shipping Line you'll get a normal choice
	dialog first that asks you to choose the goods you want to ship. However, you'll notice it
	shows all of your goods, even those you might want to use to pay the energy cost. The game
	won't predict which goods you might want to use for energy. Therefore keep track for yourself
	which goods you want to pay the energy costs with.</p>
	<p>However, the description gives you a hint, how many energy is needed for all possible
	shipments. Of course, once you've entered the numbers and hit the button, the game checks
	if you're able to pay this shipment. If not, you'll get an error message and need to correct
	your input. If everything is OK with your shipment, the energy dialog pops up if needed and
	you'll need to pay the energy cost, now.</p>
	<p>All the other buildings are rather intuitive. Read their descriptions carefully to
	use them properly.</p>
	<h1>The Scoring Window</h1>
	<p>Once the game is over, the scoring window pops up to show you the final scores.
	It names the winner(s) and their winning score and lists all players and a complete
	summary of their achievements divided in: victory points through cash, ships, buildings
	and their bonuses, and minuses through unpaid loans. Please note, that there is no way
	to transfer this data to a public server for any kind of rankings.</p>
	<p>The window shows two buttons. The right one quits the game, the left one was planned
	to start another session. However, I haven't bothered to implement this feature, so
	ignore this fake button.</p>

#
# Error messages or warnings.
#

errImpossible	A fatal error has occured!
errPleaseReport	Please report the issue!

errBanUnoccupied	Failed to ban from building: %s.
errBuildingUpdate	Failed to update a building: [building == null].
errRestoreFailed	Failed restoring Game State: [state == null].
errUseBuilding		Use of building impossible: %s.
errVersionMismatch	Version mismatch: %s.

errCorrupt		You've got a negative amount of one or more goods!
				Your turn will be reset. Please report the issue!
errDisabled		This function is unavailable at the moment!
errLoadFailed	Loading failed!
errNaN			This is no number: %s
errNoChanges	You didn't make any changes!
errNoSelection	You didn't select anything. The game will be terminated.
errNotReady		You need to wait until everyone is ready!
errRefresh		Are you sure to refresh the game state?
errSaveChanges	Save changes?
errSaveFailed	Saving failed!
errQuit			Do you want to quit the game?
errWarning		Warning

errBuildingTabu		You may not enter any buildings at the moment!
errMustEnter		You need to enter this building now!
errNoChoice			You need to select a value and hit the button!
errNotEnterable		You can't enter the building!
errNotUsable		You can't use the building action!
errNotPayable		You can't pay the entry fee!
errPawnbrokers		You haven't pawned any goods, yet!
errPicketLine		A strike is under way! You can't visit buildings, you need to take an Offer instead.

errAlreadyStarted		You can't join the game as it has already started!
errAlreadyOver			You can't join the game as it is already over!
errBadAddress			The address you've entered is not valid! Leave this field empty or enter a valid IP address.
errConnectionLost		<b>A player has lost connection!</b>
errDialogClose			You need to hit the button in order to close the window!
errFewerChosen			You're able to choose up to <b>%s</b>. Are you sure, you want just <b>%d</b>?
errFoodAll				You've entered less food than demanded. Do you want to pay the rest with money?
errFoodLack				You don't have enough food. You'll need to take loans. Do you want to proceed anyway?
errIllegalChars			At least one of the names you've entered contains illegal characters! <b>Legal are:</b> letters, numbers, underscore, dash and space.
errInputAll				You didn't enter anything. Do you want to proceed with all you have?
errInputNone			You didn't enter enough. Please try again.
errMainStation			You have to visit another building now as you've started your turn at the Main Station. 
errMustChoose			You need to double-click on one of the displays buildings. This one will replace the Construction Site.
errNameTooLong			At least one of the names you've entered is too long! Please do not enter more than <b>20</b> characters.
errNetwork				<p><b>There is a problem with the connection!</b></p><p>%s</p>
errNoBuildingBuying		You mustn't buy this building as it's the only one you're able to build.
errNoShipBuying			You mustn't buy this ship as it's the only one you're able to build.
errNoSpecials			There will be no more special buildings built in this game!
errNotUsableAfterEntry	You can't perform the building action after paying the entry fee.
						Most probably, you have discarded goods you would need to use the building.
errOfferTabu			You may not take an Offer at the moment!
errOverpaid				You're trying to discard too many goods! You may overpay, but not more than needed.
						Please correct your input and hit the button again.
errPayback				You need to have <b>%s</b> to pay loans back, but you have only <b>%s</b>!
errSameColors			At least two players have the same color!
errShipping				You're trying to ship more goods than you're able to pay the energy costs afterwards!
						Please correct your input and pay attention to leave enough energy to pay the shipment.
errTakeLoans			Do you want to take loans to pay the duty?
errTooExpensive			You're short on money! The price is %s, but you have only %s.
errTooFewChosen			You've chosen too few goods (%d instead of %d)! Please correct your input and hit the button again.
errTooManyChosen		You've chosen too many goods (%d instead of %d)! Please correct your input and hit the button again.
errTooManyUsers			You can't join the game! There are already %s.
errUnpaid				The values you've entered result in less than demanded. Please correct your input and hit the button again.

errEitherOr			You can't do both, sell and buy %s. Please enter only one value.
errEmporium			You're trying to purchase goods for a total of %d Francs, but you've got only %d left.
errTradingFirm		You need to buy goods for a total of %s, but you've spent %s only.

#
# Various popup titles.
#

popupBuilding	Building Details
popupGood		Good Details
popupOffer		Offer Details
popupOverview	Overview Card
popupRound		Round Details
popupShip		Ship Details
popupShips		Available Ships
popupSupply		Supply Details
popupLoan		Loan Details
popupPayback	Payback
popupRelogin	Login
popupTurn		Current Turn
popupYourTurn	%s, it's your turn!
popupStacks		Building Stacks

popupStackHead	<h3>Building Stack %d:</h3>
popupStackLine	<div width="160"><span style="color:#000080;">[%02d]</span> %s <span style="color:#b8ab18;">(%d)</span></div>
popupBuildAll	<p>The cumulated building costs of all buildings are <b>%s</b>.</p>
popupPriceAll	<p>To buy all of the buildings you need <b>%s</b>.</p>
popupPlayer		<b style="color:#000080;">%s (%s)</b>
popupShipping	&bull; Up to <b>%s</b> cost <b>%s</b>.

popupBankrupt			You don't have enough food and you don't own anything you might sell to get the <b>%s</b> needed.
						Therefore you'll lose all of your food and money and you'll get as many loans as needed.
popupBusinessOffice1	<b>These goods will be turned in for %s. Leave the fields empty if you don't want any.</b>
popupBusinessOffice2	<b>If you've got %s, you can now get an additional good, otherwise you <i>must</i> choose one.</b>
popupBusinessOffice3	<b>This is to pay your previous selection (%s).</b>
popupEndgame			<span style="color:navy;">The final action phase has begun!</span> Each player may perform one last main action.
						Buildings may now be used by multiple players. Purchases are no more possible. At the end of the game, as many of
						your loans as possible will be paid back automatically.
popupHarbourWatch		Select the building whose worker you want to ban from and use it on your own.
popupHaulageFirm		Select the two offer spaces you want to take the goods from.
popupInput				Enter the numbers here.
popupIronworks			Do you want an additional iron for <b>%s</b>?
